Data,Real,Previsao
2015-06-28,57006.8,75807.695
2015-06-30,48525.8,79457.484
2015-07-03,72240.2,75219.195
2015-07-05,92020.5,100430.7
2015-07-08,90608.9,82948.08
2015-07-14,65239.1,78014.39
2015-07-16,111539.1,106091.94
2015-07-18,85972.0,115592.31
2015-07-19,80231.0,100739.53
2015-07-20,73916.1,105992.17
2015-07-22,122736.8,143496.97
2015-07-25,123599.8,142848.78
2015-07-30,55254.0,97282.875
2015-08-02,62456.6,63371.52
2015-08-10,58154.6,82674.05
2015-08-11,66731.0,76073.94
2015-08-14,171707.8,195586.6
2015-08-26,102327.4,69709.8
2015-08-27,139676.8,107813.83
2015-08-31,38148.8,92024.84
2015-09-07,50961.8,37319.88
2015-09-09,44406.8,55447.074
2015-09-16,315917.7,325749.53
2015-09-21,55885.8,83791.72
2015-09-28,98963.5,71767.625
2015-09-30,59297.7,65869.97
2015-10-02,80540.2,98617.945
2015-10-04,336339.5,281069.62
2015-10-07,65519.4,94852.31
2015-10-12,169385.4,91470.36
2015-10-18,169152.1,156135.77
2015-10-19,87596.9,140311.4
2015-10-23,62616.0,79341.8
2015-10-24,23984.9,73730.234
2015-10-26,170321.0,162513.16
2015-10-28,224638.6,183624.06
2015-10-30,240381.4,163714.17
2015-11-02,144323.9,156744.56
2015-11-04,208691.4,174098.58
2015-11-11,6806.4,62649.047
2015-11-12,11260.2,61583.72
2015-11-14,91953.3,105900.73
2015-11-17,42942.3,66069.55
2015-11-22,219640.7,173510.22
2015-11-25,279384.4,208830.47
2015-11-26,262388.8,187009.31
2015-11-27,127445.9,143894.56
2015-12-01,59179.6,105755.83
2015-12-04,20244.4,102342.06
2015-12-08,56089.5,77455.766
2015-12-10,55987.3,99594.58
2015-12-11,70141.0,105670.51
2015-12-13,251697.4,182990.58
2015-12-14,297518.7,264857.94
2015-12-15,286908.9,215933.9
2015-12-18,176092.5,159127.3
2015-12-20,89651.3,122837.11
2015-12-24,105169.7,116671.85
2015-12-31,51431.1,63022.19
2016-01-03,329593.5,240427.39
2016-01-05,280685.9,243976.64
2016-01-06,278678.9,212695.06
2016-01-13,156390.6,96257.36
2016-01-14,160006.3,129174.63
2016-01-15,162807.8,144694.97
2016-01-17,131010.7,116178.664
2016-01-19,78737.7,115503.38
2016-01-22,43995.2,77290.59
2016-01-23,105799.0,87261.44
2016-01-25,125338.7,95772.09
2016-01-26,20896.7,52109.832
2016-02-01,40583.3,88393.0
2016-02-06,266056.1,189990.6
2016-02-10,344290.9,336012.03
2016-02-13,373828.5,391790.38
2016-02-16,112138.3,158772.52
2016-02-24,209713.9,184198.6
2016-02-27,256090.4,330681.16
2016-03-06,202252.9,237262.64
2016-03-08,121989.3,186324.75
2016-03-10,261722.8,286772.97
2016-03-12,72631.3,89750.93
2016-03-13,94075.7,89086.15
2016-03-20,19674.1,47613.1
2016-03-22,114646.1,149178.62
2016-03-23,103525.8,102760.01
2016-03-24,96917.5,113867.75
2016-03-25,108130.4,86787.85
2016-03-27,203060.2,193987.31
2016-04-03,238828.8,224171.98
2016-04-05,212339.6,237020.06
2016-04-06,118667.0,121274.28
2016-04-07,162395.3,160142.48
2016-04-10,290093.8,245002.33
2016-04-18,233497.0,148268.02
2016-04-22,11940.9,32038.764
2016-04-28,41958.3,66923.64
2016-04-29,64726.2,60894.0
2016-05-01,151875.0,156707.19
2016-05-09,219729.2,233205.05
2016-05-10,244712.0,191713.0
2016-05-14,118489.7,141048.66
2016-05-16,44065.6,66226.36
2016-05-19,146203.1,111767.43
2016-05-21,85716.4,84996.86
2016-05-23,60604.6,75088.54
2016-05-25,60780.0,112544.266
2016-05-30,70903.4,123802.21
2016-06-12,131380.5,143405.27
2016-06-15,278027.3,234603.34
2016-06-17,112530.8,169654.95
2016-06-18,135861.4,138343.02
2016-06-20,47016.2,65170.992
2016-06-25,135473.9,104636.71
2016-06-27,106550.2,111495.484
2016-06-29,142337.7,122760.11
2016-07-05,24281.4,41017.473
2016-07-08,75693.6,90244.77
2016-07-15,150179.8,138766.06
2016-07-16,60300.6,54008.906
2016-07-19,55689.8,48458.977
2016-07-20,93245.5,110902.81
2016-07-22,169695.0,168825.86
2016-07-25,67716.7,54011.207
2016-08-05,137049.7,114150.41
2016-08-16,64612.7,69786.78
2016-08-17,105656.1,122404.875
2016-08-18,85790.1,93272.39
2016-08-26,73232.0,26739.875
2016-08-30,128655.5,91813.72
2016-09-01,60445.3,67422.3
2016-09-02,34769.2,50380.543
2016-09-03,31889.3,60883.293
2016-09-05,38757.2,69380.64
2016-09-09,145457.0,145724.44
2016-09-10,95876.6,118698.28
2016-09-15,128516.3,133621.7
2016-09-16,101331.0,93880.69
2016-09-21,48454.2,72188.984
2016-09-25,73780.1,101688.31
2016-10-01,83453.7,103044.17
2016-10-05,46895.4,42774.785
2016-10-08,72017.7,97331.09
2016-10-12,45962.1,98834.17
2016-10-13,84808.7,130971.64
2016-10-26,93490.0,144352.05
2016-10-27,149457.5,136053.84
2016-10-28,108592.0,130578.516
2016-10-30,56459.1,92783.47
2016-11-02,86741.8,120789.484
2016-11-06,175744.9,178227.62
2016-11-10,121501.6,95425.625
2016-11-15,236510.9,216900.25
2016-11-16,69075.5,129014.836
2016-11-17,36426.4,35619.395
2016-11-18,116049.4,104271.984
2016-11-21,215180.5,246469.64
2016-11-26,176901.3,208088.61
2016-11-28,47445.7,75984.75
2016-11-30,362432.0,258018.62
2016-12-01,169423.8,214523.28
2016-12-03,340547.9,251795.52
2016-12-10,173880.1,188636.47
2016-12-18,253930.0,259447.62
2016-12-20,100857.3,75823.55
2016-12-22,27481.5,77843.03
2016-12-28,108042.8,123175.016
2016-12-30,53101.0,130710.95
2016-12-31,21167.7,111587.85
2017-01-04,18479.1,63416.34
2017-01-10,301687.3,214628.28
2017-01-11,138301.9,118046.266
2017-01-17,135915.0,101779.12
2017-01-23,109223.2,106837.29
2017-01-26,227024.5,192949.44
2017-01-30,207811.4,172566.19
2017-02-09,197041.2,173158.88
2017-02-10,156741.5,183211.12
2017-02-11,276972.4,225729.89
2017-02-13,171770.4,200395.47
2017-02-15,167931.4,149681.62
2017-02-21,223283.7,178811.83
2017-02-22,104112.0,129385.44
2017-02-23,63677.2,56463.77
2017-02-25,55100.3,72573.0
2017-03-01,67508.1,73544.2
2017-03-16,144801.6,162243.31
2017-03-17,140099.1,133573.78
2017-03-20,157820.1,152276.1
2017-03-21,230842.4,215887.33
2017-03-22,291136.5,252016.6
2017-03-23,102703.1,207457.7
2017-03-29,84831.8,92628.97
2017-04-03,60273.4,58993.434
2017-04-05,195294.2,145669.67
2017-04-06,211379.5,166224.92
2017-04-10,123939.0,140114.72
2017-04-11,35457.2,41497.176
2017-04-16,91328.0,21604.373
2017-04-17,43601.6,55108.492
2017-04-19,305860.5,146909.03
2017-04-22,87262.1,113944.92
2017-04-25,115035.5,99634.86
2017-05-01,43179.6,97945.734
2017-05-03,38218.4,91795.16
2017-05-05,213950.1,208303.39
2017-05-06,92538.9,129803.8
2017-05-09,85170.9,155478.4
2017-05-11,301665.7,282642.1
2017-05-15,32481.7,54474.72
2017-05-16,26371.0,47352.055
2017-05-21,195789.1,149114.08
2017-05-23,126675.1,101515.05
2017-05-24,104921.9,90347.11
2017-06-03,178272.2,180356.03
2017-06-04,218050.6,225317.7
2017-06-05,146179.0,151736.06
2017-06-06,121811.9,146057.98
2017-06-07,65249.9,54329.14
2017-06-08,81507.2,95310.59
2017-06-15,66877.4,73657.0
2017-06-18,40144.2,49639.285
2017-06-19,78759.1,102961.75
2017-06-24,84186.3,98100.34
2017-07-04,109487.3,100377.67
2017-07-09,123486.4,131028.37
2017-07-12,66412.0,89788.63
2017-07-13,68783.7,89429.61
2017-07-15,92800.1,52544.926
2017-07-21,188430.0,183616.5
2017-08-03,139760.0,114814.94
2017-08-05,146731.8,152898.02
2017-08-06,136061.1,83882.37
2017-08-15,137689.2,120583.24
2017-08-19,129779.0,112811.41
2017-08-20,148245.4,71801.12
2017-08-22,50254.0,108253.52
2017-08-25,36947.9,66227.91
2017-09-02,133764.9,122720.62
2017-09-03,106037.2,118132.08
2017-09-14,191163.7,149906.66
2017-09-17,100213.5,108963.766
2017-09-18,140988.6,127810.64
2017-09-20,40018.4,55315.758
2017-09-23,56297.8,47467.06
2017-09-25,106267.7,99423.61
2017-09-28,34757.5,63929.414
2017-09-29,52228.5,101504.06
2017-10-01,126035.3,95333.984
2017-10-02,53409.0,104285.375
2017-10-06,74867.7,89126.734
2017-10-08,34634.7,64037.55
2017-10-09,13594.1,77212.766
2017-10-13,7856.0,56277.574
2017-10-14,70366.2,112026.22
2017-10-15,233680.2,197931.48
2017-10-16,107120.4,123984.766
2017-10-17,113518.6,146963.72
2017-10-19,68683.8,47587.38
2017-10-22,103078.7,110559.64
2017-10-24,125798.5,111027.45
2017-10-30,219056.5,175504.44
2017-11-06,112461.9,140777.42
2017-11-08,226129.8,156704.61
2017-11-14,218448.1,160746.08
2017-11-16,15665.2,73538.28
2017-11-18,74869.5,93464.22
2017-11-23,276454.7,262855.72
2017-11-28,51099.2,93155.555
